sentence,aspect,theme,description
The paper misses the key baseline in Bayesian optimisation using tree structure [1] which can perform the prediction under the tree-structure dependencies.,arg_other,RWK,"Missing literature review (some literature not included, misses baseline citations, etc)"
"There are some well-cited works that the authors may have missed. These are ultimately different approaches, but perhaps the authors can obtain some inspiration from these:",arg_other,RWK,"Missing literature review (some literature not included, misses baseline citations, etc)"
"5, Although there is a notable difference, one may properly mention previous work Yamamoto et al. (2019), which uses GAN as an auxiliary loss within ClariNet and obtains high-fidelity speech ( https://r9y9.github.io/demos/projects/interspeech2019/ ).",arg_other,RWK,"Missing literature review (some literature not included, misses baseline citations, etc)"
"5. The term ""PowerSGD"" seems to have been used by other papers.",arg_other,RWK,"Missing literature review (some literature not included, misses baseline citations, etc)"
Also experiment figures are extremely compact. Try using log scale or other lines to make the gaps wider.,arg_other,TNF,Also experiment figures are extremely compact. Try using log scale or other lines to make the gaps wider.
"This is discussed on p4, but it's unclear to me how keeping $\sigma$ separate is benefitial for the analysis, and this is not picked up again explicitly again?",asp_clarity,ANA,Lack of discussion of analysis
"this analysis is not currently included in the main body of the manuscript, but rather in the appendix, which I find rather annoying.",asp_clarity,ANA,Lack of discussion of analysis
"The paper offers some analysis, suggesting when each of the conditions occurs, upper bounds the smallest singular value of D A (where the example dependent diagonal matrix D incorporates the ReLU activation (shouldn’t this be more clearly introduced and notated?).",asp_clarity,ANA,Lack of discussion of analysis
Here are a few examples: The ICLR citation style needs to use sometimes \citep.,asp_clarity,BIB,Incorrect citation styles
- There is no need for such repetitive citing (esp paragraph 2 on page 2).,asp_clarity,BIB,Incorrect citation styles
Sometimes the same paper is cited 4 times within a few lines.,asp_clarity,BIB,Incorrect citation styles
- Missing references on page 3,asp_clarity,BIB,Incorrect citation styles
"In particular, it is unclear what the assumption on the size of the unlabelled test set is.",asp_clarity,DAT,"Lack of discussion on datasets (size, motivation for use, etc)"
* The issue of possible false positives due to sample dependence in fMRI data has again been ignored in the rebuttal.,asp_clarity,DAT,"Lack of discussion on datasets (size, motivation for use, etc)"
"For example, I don't understand what does it mean in ""However, if training data is complete, ..... handle during missing data during test."" Another example would be the last few paragraphs on page 4; they are very unclear.",asp_clarity,DAT,"Lack of discussion on datasets (size, motivation for use, etc)"
"For example, I have trouble understanding the sentence ""So the existed algorithms should be heuristic or it can get a bad result even we train the neural networks with lots of datasets."" in the introduction.",asp_clarity,DAT,"Lack of discussion on datasets (size, motivation for use, etc)"
"6. Validation data / test sets: Throughout this work, it is unclear what / how validation is performed.",asp_clarity,DAT,"Lack of discussion on datasets (size, motivation for use, etc)"
"You have 3 datasets worth of data for the regression task (it is still unclear, however, what is being used for evaluation), but it doesn't look like this is addressed in the larger scale experiments at all.",asp_clarity,DAT,"Lack of discussion on datasets (size, motivation for use, etc)"
"The gain of using a sufficiently more complicated approach to assess the overall distance between the test and training dataset is not clear, comparing it to the very insightful histograms.",asp_clarity,DAT,"Lack of discussion on datasets (size, motivation for use, etc)"
"However, since quantitative exploration of large real-world datasets may be challenging and expensive to collect, the synthetic experiments could have been more detailed.",asp_clarity,DAT_EXP,"However, since quantitative exploration of large real-world datasets may be challenging and expensive to collect, the synthetic experiments could have been more detailed."
- It is unclear why the results on WikiSQL is presented in Appendix. Combining the results on both datasets in the experiments section would be more convincing.,asp_clarity,DAT_RES_EXP,- It is unclear why the results on WikiSQL is presented in Appendix. Combining the results on both datasets in the experiments section would be more convincing.
"However, the real-world experiments are not necessarily the easiest to read.",asp_clarity,EXP,"Lack of discussion of experimental setup (conclusion from experiments, poor experimental details, etc)"
Authors should clarify the justification behind experimenting only on 'first 500 test images'.,asp_clarity,EXP,"Lack of discussion of experimental setup (conclusion from experiments, poor experimental details, etc)"
It seems there is no conclusion to take away from the experiments in section 5 (convolutions).,asp_clarity,EXP,"Lack of discussion of experimental setup (conclusion from experiments, poor experimental details, etc)"
"The paper is written in a way that makes following it a bit difficult, for example, the experimental setups.",asp_clarity,EXP,"Lack of discussion of experimental setup (conclusion from experiments, poor experimental details, etc)"
In the experiment there is no details on how you set the hyperparameters of CW and EAD.,asp_clarity,EXP,"Lack of discussion of experimental setup (conclusion from experiments, poor experimental details, etc)"
"It is not clear to me what the point of Sec. 5 is, given a trained model, one wants to figure out if an image was present in the training of the model.",asp_clarity,EXP,"Lack of discussion of experimental setup (conclusion from experiments, poor experimental details, etc)"
"- Also, for MISC-r experiments, the weights between the intrinsic reward bonus and the extrinsic reward are not specified in the paper.",asp_clarity,EXP,"Lack of discussion of experimental setup (conclusion from experiments, poor experimental details, etc)"
"In particular, the example in section 3.1 says that a noisy information bottleneck is introduced, but then says that the modified and unmodified models have ""training algorithms that are exactly equivalent."" I think this example needs to be clarified.",asp_clarity,EXP,"Lack of discussion of experimental setup (conclusion from experiments, poor experimental details, etc)"
"5. In fact, I don't know why \omega needs to output p. It's never mentioned in the experiment section.",asp_clarity,EXP,"Lack of discussion of experimental setup (conclusion from experiments, poor experimental details, etc)"
10. Reading the baselines before the experiments is very confusing.,asp_clarity,EXP,"Lack of discussion of experimental setup (conclusion from experiments, poor experimental details, etc)"
"3. This apart, I think that the experiment section is pretty hard to read, given all the metrics and methodology is in the Appendix.",asp_clarity,EXP,"Lack of discussion of experimental setup (conclusion from experiments, poor experimental details, etc)"
The imagenet experiment lacks details.,asp_clarity,EXP,"Lack of discussion of experimental setup (conclusion from experiments, poor experimental details, etc)"
"In summary, I think this is interesting work, but a clearer explanation of the relationship between HRL and MARL, as well as a clearer main argument, supported by experimental evidence, would greatly improve this paper.",asp_clarity,EXP,"Lack of discussion of experimental setup (conclusion from experiments, poor experimental details, etc)"
"The experimental section includes various mistakes (see under minor) and misses to describe figures, leading to the assumption that additional time is required for a more detailed evaluation of the algorithm (including more domains and in particular baselines).",asp_clarity,EXP,"Lack of discussion of experimental setup (conclusion from experiments, poor experimental details, etc)"
"Cons:  unclear transfer learning model, insufficient experiments.",asp_clarity,EXP,"Lack of discussion of experimental setup (conclusion from experiments, poor experimental details, etc)"
"section 6.3, the authors show an experiments in this case, but only on a dense",asp_clarity,EXP,"Lack of discussion of experimental setup (conclusion from experiments, poor experimental details, etc)"
1. the difficult to train the network,asp_clarity,EXP,"Lack of discussion of experimental setup (conclusion from experiments, poor experimental details, etc)"
This paper has problems with clarity/polish and experimental design that are sufficiently severe,asp_clarity,EXP,"Lack of discussion of experimental setup (conclusion from experiments, poor experimental details, etc)"
5. Clarity: The first half of this paper was easy to follow and clear. The experimental section had a couple of areas that left me confused. In particular:,asp_clarity,EXP,"Lack of discussion of experimental setup (conclusion from experiments, poor experimental details, etc)"
"8. ""Beyond fixed schedules, automatically adjusting the training of G and D remains untacked"" -- this is not 100% true.",asp_clarity,EXP,"Lack of discussion of experimental setup (conclusion from experiments, poor experimental details, etc)"
There were some experimental details that were poorly explained but in general the paper was readable.,asp_clarity,EXP,"Lack of discussion of experimental setup (conclusion from experiments, poor experimental details, etc)"
"Also, the sentence, ""We demonstrate the implementation and performance of our pipelined backpropagation in PyTorch on 2 GPUs using ResNet, achieving speedups of up to 1.8X over a 1-GPU baseline, with a small drop in inference accuracy."", is confusing. If I use data parallelization, the gain should be also around 2.",asp_clarity,EXP,"Lack of discussion of experimental setup (conclusion from experiments, poor experimental details, etc)"
"2) It would be great if the paper can clearly define the experiments: ""waypoint"", ""oncoming"", ""mall"", and ""bottleneck"".",asp_clarity,EXP,"Lack of discussion of experimental setup (conclusion from experiments, poor experimental details, etc)"
This needs more elaboration. Is this way of training results expected? What is the lesson learned?,asp_clarity,EXP,"Lack of discussion of experimental setup (conclusion from experiments, poor experimental details, etc)"
The contributions of the method could also be underlined more clearly in the abstract and introduction.,asp_clarity,INT,Unclear intro (eg. contributions)
- The digression at the bottom of the first page about neural architecture search seem out of context and interrupts the flow of the introduction.,asp_clarity,INT,Unclear intro (eg. contributions)
"First, it is somewhat misleading about its contributions: it's not obvious from abstract/introduction that the whole model is the same as DIP except for the proposed architecture.",asp_clarity,INT,Unclear intro (eg. contributions)
The introduction can start at a lower level (such as flat/hyperbolic neural networks).,asp_clarity,INT,Unclear intro (eg. contributions)
10.	The title suggests that the paper studies multiple VQA models but only a single model is studied.,asp_clarity,INT,Unclear intro (eg. contributions)
"I do not understand the ""deep integration of MARL and HRL"" that is claimed in the Introduction.",asp_clarity,INT,Unclear intro (eg. contributions)
"* In the introduction, ""the classical approach"" is mentioned but to be the latter is",asp_clarity,INT,Unclear intro (eg. contributions)
"Specifically, the first contribution listed in the introduction makes it look like this paper introduces the idea of not learning the decoder on the dataset (the one that starts with “The network is not learned and itself incorporates all assumptions on the data.”).",asp_clarity,INT_PDI,"Specifically, the first contribution listed in the introduction makes it look like this paper introduces the idea of not learning the decoder on the dataset (the one that starts with “The network is not learned and itself incorporates all assumptions on the data.”)."
How to understand this phenomenon? Does this mean that the distribution of the layer outputs will not change too much if the layer is deep enough?,asp_clarity,MET,Unclear description of method
"In particular, the node-level pretraining described in section 3.1.1. seems rather complicated to implement as a context graph needs to be computed for each node in the graph.",asp_clarity,MET,Unclear description of method
"- The definition of g should depend on only \theta_k^I and \hat{\delta}_k^M, not \theta_k^k.",asp_clarity,MET,Unclear description of method
"- The equation (1) should hold for any \theta’, not \theta.",asp_clarity,MET,Unclear description of method
"- The equation (1) should contain \rho, not p.",asp_clarity,MET,Unclear description of method
"* The use of the name ""batch-norm"" for the layer wise normalization is both wrong and misleading.",asp_clarity,MET,Unclear description of method
"For example, it is unclear to me why some larger models are not amenable to truncation.",asp_clarity,MET,Unclear description of method
- the notation q appeared in the middle part of page 3 before the definition of q is shown in the last paragraph of p.3.,asp_clarity,MET,Unclear description of method
"At the end of the subsection, the authors argue that 4D convolution is just k times larger than 3D kernels, which sounds like contradicting.",asp_clarity,MET,Unclear description of method
-- It is not clear how the  per-example scalar sigma-i is learned. (for Eq 2),asp_clarity,MET,Unclear description of method
But the authors do not seem to describe how they chose the hyperparameters for the baselines algorithms.,asp_clarity,MET,Unclear description of method
"Since finding an adversarial with smaller perturbation is a harder problem, it is unclear how the algorithms compare for finding adversarial examples with similar distortion.",asp_clarity,MET,Unclear description of method
"In this sense, claims about the low-variance of GO-gradient wrt to other reparametrization baed estimators should be removed, as they are the same.",asp_clarity,MET,Unclear description of method
"On page 4, State update function, what is the meaning of variable ""Epsilon"" in the equation?",asp_clarity,MET,Unclear description of method
"From the supplementary, it seems Epsilon means the environment?",asp_clarity,MET,Unclear description of method
"- In Equation (2), How is P_ij defined exactly, are they parameters? I am quite confused about this part",asp_clarity,MET,Unclear description of method
"Fourth, please make it clear that the proposed method aims to estimate ""causality-in-mean"" because of the formulation in terms of regression.",asp_clarity,MET,Unclear description of method
"While I could imagine human judges preferring them as they are fluent, I think they are wrong as they express a different meaning than the SPARQL query they are supposed to express.",asp_clarity,MET,Unclear description of method
"The maths is not clear, in particular the gradient derivation in equation (8).",asp_clarity,MET,Unclear description of method
"But again, it's not super clear how the paper estimates this derivative.",asp_clarity,MET,Unclear description of method
"1. Are e_{i,t} and lambda_{i,t} vectors?",asp_clarity,MET,Unclear description of method
The description of consistency regularisation methods in section 2.2 is not very clear and I would like to get better understanding of temporal ensembling and SNTG methods here as they play an important role in the experiments.,asp_clarity,MET,Unclear description of method
"Then, the important hyperparameter of the method---threshold---seems to be hard to select (both in sections 4.1 and 4.2).",asp_clarity,MET,Unclear description of method
"Section 2.1 is where the method is proposed, yet most of the descriptions there are unclear. Without these details it is impossible to judge the novelty of the ""rule-based concept extractor"", which is the key technical innovation.",asp_clarity,MET,Unclear description of method
"An example of lack of mathematical rigor is equation 4 in which the same variable name is used to describe the weights before and after pruning, as if it was computer code instead of an equation.",asp_clarity,MET,Unclear description of method
"Also pervasive is the use of the asterisk to denote multiplication, again as if it was code and not math.",asp_clarity,MET,Unclear description of method
- q_theta was introduced in Eq. (8) before it is defined in Eq. (11).,asp_clarity,MET,Unclear description of method
"In the algorithm, the authors need to define the HT function in (3) and (4).",asp_clarity,MET,Unclear description of method
It leaves it unclear to the reader when someone should choose to utilize a spherical method or when the proposed method would then be preferred compared to other spherical methods.,asp_clarity,MET,Unclear description of method
"Also, it is not clear why those are called axioms since they are not use to build anything else.",asp_clarity,MET,Unclear description of method
"- The interchangeable use of the term ""conductance of neuron j"" for equations 2 and 3 is confusing.",asp_clarity,MET,Unclear description of method
"- As said in the my main comments, I am not convinced by the use of the term Axiom. They are not use as building blocks, and are rather used as desirable properties for which the authors prove that only ""path methods"" can satisfy.",asp_clarity,MET,Unclear description of method
I don't have a good sense of whether this is a reasonable theoretical model to explore and a lot of very basic questions remain unanswered for me.,asp_clarity,MET,Unclear description of method
"I take issue with the usage of the phrase ""skill discovery"".",asp_clarity,MET,Unclear description of method
"Here, there is only a single (unconditioned) policy, and the different ""skills"" come from modifications of the environment -- the number of skills is tied to the number of environments.",asp_clarity,MET,Unclear description of method
The language around skills and the extent of prior knowledge still downplays things a bit too much for my liking.,asp_clarity,MET,Unclear description of method
It is in the end plugged into a continual learning algorithm which also performs domain transformation.,asp_clarity,MET,Unclear description of method
The purpose of the public set is explained only in section 5.2.,asp_clarity,MET,Unclear description of method
"-Something is a bit weird with the FGM results. While it is a weaker attack, a 0%/100% disparity between it and every other",asp_clarity,MET,Unclear description of method
"Also, it seems quite strange to me that making the FW overshot and then projecting back would be beneficial.",asp_clarity,MET,Unclear description of method
- I am not sure what you mean in 5.4 “we omit all grid search/ binary search steps,asp_clarity,MET,Unclear description of method
"As is, the counter example proof itself is quite confusing: it would really help if the proof was more formal.",asp_clarity,MET,Unclear description of method
"However, the weakness is that the condition is opaque and it is not entirely clear how broad of class of problems this condition would apply to.",asp_clarity,MET,Unclear description of method
"However, I don't understand the use of $\alpha$ here.",asp_clarity,MET,Unclear description of method
"I believe that's what ""Pred (One Step)"" expresses, but it would maybe be generally helpful to be more precise about the notation",asp_clarity,MET,Unclear description of method
"* Equations (1, 2): z and \phi are not consistently boldfaced",asp_clarity,MET,Unclear description of method
1. It is not clear that training a network to classify a set from another set is necessarily equivalent to ``memorization’’.,asp_clarity,MET,Unclear description of method
I believe that the presentation of the proposed method can be significantly improved.,asp_clarity,MET,Unclear description of method
The method description was a bit confusing and unclear to me.,asp_clarity,MET,Unclear description of method
- the sentence under eq. (2),asp_clarity,MET,Unclear description of method
"- the sentence ""Bacause the identity of the datapoint can never be learned by ..."" What is the identity of a dat point?",asp_clarity,MET,Unclear description of method
It’s not obvious to me how useful the ME bias would be when there is a large number of classes since the probability assigned to the true novel class with a perfect ME bias would be 1 / (# unseen classes).,asp_clarity,MET,Unclear description of method
- It is unclear how MISC-p is performed. Please elaborate on how MISC-p works for prioritization.,asp_clarity,MET,Unclear description of method
"4. I do not understand this: ""to fit well the method overfitting rate"" in Section 3.3.",asp_clarity,MET,Unclear description of method
"(2) Eq. (3): is there a superscription ""(j)"" on z_canon in decoder?",asp_clarity,MET,Unclear description of method
"- Section 3.3: “Different from pruning, which the search space is usually quite limited”. “which” should be “whose”?",asp_clarity,MET,Unclear description of method
- Section 4.4.1: “DSO-NAS can also search architecture [...]”  -> “DSO-NAS can also search for architectures [...]”,asp_clarity,MET,Unclear description of method
"However, it isn’t entirely clear if the primary contribution is showing that ‘curiosity reward’ is a potentially promising approach or if game environments aren’t particularly good testbeds for practical RL algorithms — given the lack of significant results on more realistic domains, my intuition leans toward the later (the ant robot is interesting, but one can come up with ‘simulator artifact’ based explanations).",asp_clarity,MET,Unclear description of method
"While the general description of the model is clear, details are lacking.",asp_clarity,MET,Unclear description of method
"Similarly, you did not indicate what the deterministic version of your model is.",asp_clarity,MET,Unclear description of method
"Also, it is not clear from the discussion on z, whether sampling is performed once for each video of for each frame.",asp_clarity,MET,Unclear description of method
Another somewhat jarring fact about the alt-az convolution is that it is not well defined on the south pole.,asp_clarity,MET,Unclear description of method
"The paragraph motivating the alt-az convolution on page 4 is not very clear, and some claims are questionable.",asp_clarity,MET,Unclear description of method
"I would suggest rewriting this paragraph to make it clearer and less speculative, and acknowledge that although rotating filters might increase computational complexity, it has often been shown very effective.",asp_clarity,MET,Unclear description of method
-Some technical details  are missing.,asp_clarity,MET,Unclear description of method
- Sec 3.4 can you recap all the parameters after eq.11? going through Sec 3.2 and 2.2 to find them is quite annoying.,asp_clarity,MET,Unclear description of method
"Reading it feels like reading about lattices when the work is about general graphs, and lattices provide no intuition about the proposed solution.",asp_clarity,MET,Unclear description of method
It is still not clear why self-modulation stabilizes the generator towards small conditioning values.,asp_clarity,MET,Unclear description of method
The clarity of the presentation (in particular the description of when the method is applicable) and the technical correctness of the paper are somewhat lacking.,asp_clarity,MET,Unclear description of method
Because of the above many discussions about discrete vs. continuous variables are missleading.,asp_clarity,MET,Unclear description of method
Many of the parameters here are also unclear and not properly defined/introduced.,asp_clarity,MET,Unclear description of method
What is the relationship between $\theta$ and $\tilde\theta$ exactly?,asp_clarity,MET,Unclear description of method
"- The end of the 2nd line of lemma 1: P, G should be \mathbb{P}, \mathbb{G}",asp_clarity,MET,Unclear description of method
- The 3rd line of lemma 1: epsilon1 -> epsilon_1,asp_clarity,MET,Unclear description of method
"- Page 14, Eq(14), \lambda should be s",asp_clarity,MET,Unclear description of method
"- Page 14, Eqs(13, 14), w(\mathbb{P}, \mathbb{G}) should appear on the right.",asp_clarity,MET,Unclear description of method
"Reading the Lemmas of Section 4 (Lemma 4.4) you can see that it is the smoothness parameter of function $H$. Thus, is not necessary to have it there (not important for the definition).",asp_clarity,MET,Unclear description of method
"For example, it is not clear the strong emphasis on the robust MDP formalization and the fact that MCTS finds a Nash equilibrium.",asp_clarity,MET,Unclear description of method
"Some statements don't make sense, however, eg. ""HSIC-based estimators tend to have loose confidence intervals due to the need to bound generalization error of kernels f and g on unseen data points.",asp_clarity,MET,Unclear description of method
"The authors do not explicitly define continual learning, incremental learning, and catastrophic forgetting problem.",asp_clarity,MET,Unclear description of method
2. It's very confusing when the authors introduce \sigma and \omega in the beginning of section 4: why would you need two networks predict the same thing?,asp_clarity,MET,Unclear description of method
"4. Even when the authors formally introduce \sigma and \omega in 4.2, it is still not clear that why both of them are used for modelling the success probability.",asp_clarity,MET,Unclear description of method
"For example, in Section 3.2, it can be made clear that the domain of the quantization function is the real and the codomain is a sequence k bits.",asp_clarity,MET,Unclear description of method
This makes the contribution of this paper in terms of the method,asp_clarity,MET,Unclear description of method
"#3) There are several Equations that can be combined, such that to save enough white space in order to discuss further some actual technical details.",asp_clarity,MET,Unclear description of method
- What is dt in Algorithm 1 description?,asp_clarity,MET,Unclear description of method
"--The notation for the proposed parameters theta, theta’, phi, phi’ are not consistent with the notation in the intro section, where phi was used for the encoder and theta for the decoder.",asp_clarity,MET,Unclear description of method
In later sections they use theta and theta’ for encoder/decoder resp.,asp_clarity,MET,Unclear description of method
"Why mention it here, if it's not being defined.",asp_clarity,MET,Unclear description of method
Also it's not clear from the details in the paper what are the architectures for the VAE and RFs (there's a reference to the code but would've been better to have sufficient details in the paper).,asp_clarity,MET,Unclear description of method
I think it is necessary to make it clearer how s_{post_read} and attn_copy are computed with the updated {h^i_t} and what u^i is expected to encode.,asp_clarity,MET,Unclear description of method
"Minor:  Since the action is denoted by ""a"",  it will be more clear if the authors use another symbol to denote the parameter of q(z) instead of ""\alpha"" at Eq 10 and 15.",asp_clarity,MET,Unclear description of method
"Minor, 1/2 is missing in the last line of Eq 19.",asp_clarity,MET,Unclear description of method
"The authors seems interchangeably using “runs” and “iterations”, which makes the concept more confusable.",asp_clarity,MET,Unclear description of method
"- Lack of clarity in the following passage: “In our setting, each point xi in the point cloud can be considered to correspond to single images when we train GANs over images”",asp_clarity,MET,Unclear description of method
"Likewise, it is not well explained what is the value of the learnt relationships, and how uncertainty and errors in the causal learning are relevant to the downstream use of the learnt model.",asp_clarity,MET,Unclear description of method
"Here the end goal is less clear; this is understandable in the sense that the work is positioned as a piece in a grand objective, but it would seem valuable to nevertheless describe some concrete example(s) to elucidate this aspect of the algorithm (use case / error effects downstream).",asp_clarity,MET,Unclear description of method
I don’t understand the claim that “GANs prioritize matching joint distributions of pixels over per-pixel reconstruction” and its implication that VAEs do not prioritize joint distribution matching.,asp_clarity,MET,Unclear description of method
"A minor comment is that the mutual information I(., .) being a function of two variables suddenly became a function of a single variable in Eq. (1) and in the text which precedes it.",asp_clarity,MET,Unclear description of method
3. The key contribution of the paper that the authors could highlight better is that they do not add new hyper-parameters.,asp_clarity,MET,Unclear description of method
It is not clear how smaller RBMs (and their associated parameters) are combined to obtain the larger RBM model.,asp_clarity,MET,Unclear description of method
Perhaps a cleaner definition would just be “A is full rank and there does not exist any X such that Ax < 0?,asp_clarity,MET,Unclear description of method
Also perhaps better to use the curly sign for vector inequality.,asp_clarity,MET,Unclear description of method
|_{y>0} x + b |_{y>0}  <— what is the purpose of the subscripts here? Why is this notation never introduced?,asp_clarity,MET,Unclear description of method
“From a high-level perspective both of these approaches” --> missing comma after “perspective”,asp_clarity,MET,Unclear description of method
"""reverse view on adversarial examples"" --- what this means isn't clear from the preceding text.",asp_clarity,MET,Unclear description of method
"- It would be better to provide the details of the procedure of the proposed method (e.g., Algorithm 1 and each processing of Algorithm 1) in the paper, not in the Appendix.",asp_clarity,MET,Unclear description of method
- The method is very confusingly presented and requires both knowledge of HAT as well as more than one reading to understand.,asp_clarity,MET,Unclear description of method
"The fact that HAT-like masks are used for a generative replay approach is clear, but the actual mechanism of ""growing capacity"" is not made clear at all especially in the beginning of the paper.",asp_clarity,MET,Unclear description of method
