sentence,index,review_action,fine_review_action,aspect,target
What would make it stronger imo is to address the issue of how much is gained from a discrete vs. continuous representation.,,arg_request,arg-request_edit,asp_substance,1
That makes sense -- but at what cost?,,arg_request,arg-request_clarification,asp_soundness-correctness,4
can  you elaborate?,,arg_request,arg-request_explanation,asp_soundness-correctness,0
"#1) I do not understand exactly what the ""general method"" means. Does it mean that you propose a method, where you can just change the F, such that to solve a different degradation problem? So you provide the general framework where somebody has to specify only the F?",,arg_request,arg-request_clarification,asp_substance,4
"For instance, Eq. 2,3 can be easily combined using the proportional symbol, Eq. 8,9,10,11 show actually the same thing.",,arg_request,arg-request_edit,asp_clarity,1
"#4) I think that the function F has to be differentiable, and this should be mentioned in the text.",,arg_request,arg-request_edit,asp_clarity,1
"Also, I believe that some actual (analytic) examples of F should be provided, at least  in the experiments.",,arg_request,arg-request_edit,asp_substance,1
The same holds for the p(Omega).,,arg_request,arg-request_edit,asp_substance,1
This parameter Omega is estimated individually for each degraded image?,,arg_request,arg-request_clarification,asp_substance,4
#5) Before Eq. 8 the matrix V is a function of z and should be presented as such in the equations.,,arg_request,arg-request_edit,asp_clarity,1
"#6) I believe that it would be nice to include a magnified image of Fig. 3, where the gradient steps are shown.",,arg_request,arg-request_edit,asp_clarity,1
"Also, my understanding is that the optimization goal is to find first a feasible solution, and then find the point that maximizes f. I think that this can be clarified in the text.",,arg_request,arg-request_clarification,asp_clarity,4
"I would suggest, at least, to include some empirical evidences in the experiments that show convergence.",,arg_request,arg-request_experiment,asp_clarity,2
#8) In the experiments I think that at least one example of F and p(Omega) should be presented.,,arg_request,arg-request_edit,asp_substance,1
"Also, what the numbers in Table 4 show? Which is the best value that can be achieved?",,arg_request,arg-request_explanation,asp_substance,0
"These numbers correspond to several images, or to a unique image?",,arg_request,arg-request_clarification,asp_substance,4
I would suggest to use the \simeq symbol instead.,,arg_request,arg-request_edit,asp_substance,1
"#2) After Eq. 6 the ""nonnegative"" should be ""nonzero"".",,arg_request,arg-request_edit,asp_substance,1
"#3) Additional density estimation models can be used e.g. VAEs, GMM.",,arg_request,arg-request_experiment,asp_substance,2
"#4) In Section 2 paragraph 2, the sentence ""However, they only ... and directly"" is not clear what means.",,arg_request,arg-request_clarification,asp_clarity,4
Most of my comments are improvements which can be easily included.,,arg_request,arg-request_edit,arg_other,1
"Also, I think that additional methods to compute the image prior should be included in the experiments.",,arg_request,arg-request_experiment,asp_substance,2
A good extension of this work would be to combine a text-derived embedding  or the synsets to interpolate the SPoSE dimensions for missing words in the original set.,,arg_request,arg-request_experiment,asp_substance,2
Or perhaps the object similarity ratings could be used in a semi-supervised setting to inform the learning of a co-occurence word embedding.,,arg_request,arg-request_experiment,asp_substance,2
This will allow the model to better describe a larger set of words.,,arg_request,arg-request_experiment,asp_substance,2
Another possible extension is to test this larger set of words on a non-behavioral NLP task to show possible improvements that the behavioral data and the interpretable space give.,,arg_request,arg-request_experiment,asp_substance,2
"Questions: I would like to see more discussion about difference between this work and [Z Hu, arXiv:1905.13728].",,arg_request,arg-request_explanation,asp_substance,0
"Comparing to the other work, what are strengths of this work? In addition, have the authors compared the performances of their work and [Z Hu, arXiv:1905.13728] using the same data?",,arg_request,arg-request_experiment,asp_substance,2
"Since the paper manages to use very few parameters (BTW, how many parameters in total do you have? Can you please add this number to the text?), it would be cool to see if second order methods like LBFGS can be applied here.",,arg_request,arg-request_clarification,asp_substance,4
"First, it doesn’t label the X axis.",,arg_request,arg-request_edit,asp_clarity,1
"Second, the caption mentions that early stopping is beneficial for the proposed method, but I can’t see it from the figure.",,arg_request,arg-request_edit,asp_clarity,1
"Third, I don’t get what is plotted on different subplots.",,arg_request,arg-request_edit,asp_clarity,1
"The text mentions that (a) is fitting the noisy image, (b) is fitting the noiseless image, and (c) is fitting noise. Is it all done independently with three different models?",,arg_request,arg-request_clarification,asp_clarity,4
"Then why does the figure says test and train loss? And why DIP loss goes up, it should be able to fit anything, right? If not and it’s a single model that gets fitted on the noisy image and tested on the noiseless image, then how can you estimate the level of noise fitting? ||G(C) - eta|| should be high if G(C) ~= x.",,arg_request,arg-request_edit,asp_clarity,1
"Also, in this quote “In Fig. 4(a) we plot the Mean Squared Error (MSE) over the number of iterations of the optimizer for fitting the noisy astronaut image x + η (i.e., FORMULA ...” the formula doesn’t correspond to the text.",,arg_request,arg-request_clarification,asp_clarity,4
I don’t get the details of the batch normalization used: with respect to which axis the mean and variance are computed?,,arg_request,arg-request_clarification,asp_clarity,4
"But first, it’s not obvious why this would be a good thing (or a bad thing for that matter)",,arg_request,arg-request_edit,asp_substance,1
"I think it should be vice versa, N >> n",,arg_request,arg-request_typo,arg_other,3
"It would be nice to have a version of Figure 6 with k = 6, so that one can see all feature maps (in contrast to a subset of them).",,arg_request,arg-request_edit,asp_clarity,1
"I’m also wondering, is it harder to optimize the proposed architecture compared to DIP?",,arg_request,arg-request_clarification,asp_substance,4
"- page 2: ""network's type to be class"" -> ""to be a class""",,arg_request,arg-request_typo,asp_clarity,3
- Evaluation Datasets: Did you take duplication in the crawled datasets into account? (Lopes et al. 2017 (DéjàVu: a map of code duplicates on GitHub) suggests that this is particularly problematic for JavaScript/TypeScript),,arg_request,arg-request_clarification,asp_substance,4
"When you say that full-matrix computation ""requires taking the inverse square root"", I assume you know that is not really correct?",,arg_request,arg-request_clarification,asp_soundness-correctness,4
"Why mention it here, if it's not being defined.",,arg_request,arg-request_explanation,asp_clarity,0
"It would help to clarify the connection between the Gram/correlation matrix of gradients and the Hessian and what is being done to ill-conditioning, since second order methods are basically designed for ill-conditioned problems..",,arg_request,arg-request_clarification,asp_clarity,4
"It is difficult to know what the theory says about the empirical results, given the tweaks discussed in Sec 2.2, and so it is difficult to know what is the benefit of the method versus the tweaks.",,arg_request,arg-request_explanation,asp_soundness-correctness,0
"If this method is to be useful, understanding how these spectral properties change during training for different types of networks is essential.",,arg_request,arg-request_explanation,asp_soundness-correctness,0
"You say that you ""informally state the main theorem.""  The level of formality/informality makes it hard to know what is really being said.  You should remove it if it is not worth stating precisely, or state it precisely.  (It's fair to modularize the proof, but as it is it's hard to know what it's saying, except that your method comes with some guarantee that isn't stated.)",,arg_request,arg-request_edit,asp_soundness-correctness,1
It is not clear to me why we need to add MC-Dropout to the ensemble.,,arg_request,arg-request_explanation,asp_soundness-correctness,0
What is the benefit of DEBAL over an ensemble method if both of them do not have Bayesian theoretic support?,,arg_request,arg-request_explanation,asp_soundness-correctness,0
"However, I do not understand how are the *discrete* output y is handled.",,arg_request,arg-request_explanation,asp_soundness-correctness,0
Is it indeed a discrete output (problem with lack of differentiability)? Softwax probability? Other modelling choice?,,arg_request,arg-request_clarification,asp_clarity,4
I’m not sure I understand what we are supposed to learn from the astrophysics experiments.,,arg_request,arg-request_clarification,asp_clarity,4
How do you guarantee that the representation learned by the neural network still obeys the property of Choquet integral? What is your loss or your algorithm?,,arg_request,arg-request_clarification,asp_replicability,4
These need to be further clarified.,,arg_request,arg-request_clarification,asp_replicability,4
"Thus, I would like to see more possible explanation on it.",,arg_request,arg-request_explanation,asp_soundness-correctness,0
"1. For the evaluation of DBA, I assume that there are 4 adversarial parties, controlling each of the 4 local triggers. When using centralized attacks, are there still 4 adversarial parties, although they share the same global trigger, or if there is only 1 adversarial party?",,arg_request,arg-request_clarification,asp_replicability,4
3. Can the authors show if the decomposition is also useful for trigger patterns that are not necessarily regular shapes?,,arg_request,arg-request_experiment,asp_substance,2
4. Can the authors show concrete examples on how the attacks are generated?,,arg_request,arg-request_explanation,asp_replicability,0
"Specifically, which features are perturbed, what are the values assigned as the trigger, and what is the corresponding target label?",,arg_request,arg-request_clarification,asp_replicability,4
"- Even though oracle results are interesting, to make it practical it may make sense to talk about a more realistic, weaker oracle where some of the queries may be incorrect.",,arg_request,arg-request_clarification,asp_substance,4
- It may even make sense to minimise the number of oracle calls which can be thought of as a resource and discuss the relationship between number of oracle calls and other resources such as space.,,arg_request,arg-request_edit,asp_substance,1
How do these compare? Does the proposed approach offer  insights on these datasets which are not captured by the comparison methods?,,arg_request,arg-request_clarification,asp_substance,4
"2. The human score of 91.4% is based on majority vote, which should be compared with an ensemble of deep learning prediction.",,arg_request,arg-request_experiment,asp_meaningful-comparison,2
To compare the author should use the average score of human.,,arg_request,arg-request_experiment,asp_meaningful-comparison,2
"It seems to me; the author assumed data from one modality is generated by all the latent factors (see Eq. (11)), then what is the point for assuming the prior of the latent factor is factorized (see Eq. (4) and (5))?",,arg_request,arg-request_explanation,asp_soundness-correctness,0
The author should comment on this.,,arg_request,arg-request_explanation,asp_soundness-correctness,0
"Also, the author should avoid using the word ""simply"" too often (see the last few paragraphs on page 5).",,arg_request,arg-request_edit,asp_clarity,1
"The author should also add more explanation here,",,arg_request,arg-request_edit,asp_clarity,1
d. What is the metric in Table 1 and 2?,,arg_request,arg-request_explanation,asp_clarity,0
e. What are the two modalities in Table 2? The author should explain.,,arg_request,arg-request_clarification,asp_clarity,4
The author should explain this.,,arg_request,arg-request_explanation,asp_soundness-correctness,0
"The author can perhaps consider the datasets used by Tsai et al. There are seven datasets, and they can all be modified to the setting of partially-observable multimodal data.",,arg_request,arg-request_experiment,asp_substance,2
I would like the method to be applied on other domains such as continuous non-convex optimization and reinforcement learning.,,arg_request,arg-request_experiment,asp_motivation-impact,2
"- The paper should refer to 1) the reward shaping literature, 2) the growing line of works concerned with control variates for REINFORCE (such as VIMCO, MuProp, REBAR) and 3) the growing line of works concerned about combinatorial optimization with reinforcement learning (Neural Combinatorial Optimization with Reinforcement Learning, etc.)",,arg_request,arg-request_edit,asp_meaningful-comparison,1
- I would also encourage the authors to come up with a more descriptive name for the approach.,,arg_request,arg-request_edit,asp_soundness-correctness,1
How to understand this phenomenon? Does this mean that the distribution of the layer outputs will not change too much if the layer is deep enough?,,arg_request,arg-request_explanation,asp_clarity,0
"2. Typos: the weight matrix in the end of page 2 should be N_l times N_{l-1}. Also, the x_i's in the first line of page 3 should be bold.",,arg_request,arg-request_edit,asp_soundness-correctness,1
"Section 2 contains mostly high level explanations of the work, which should be integrated in the introduction, and thus before the related work section, to improve readability.",,arg_request,arg-request_edit,asp_clarity,1
"Section 2 states that section 4.2 proves that a ""path method"" must be used in order to satisfy the axioms, but why such axioms are important is not stressed enough.",,arg_request,arg-request_explanation,asp_clarity,0
There is however many minor issues that should be fixed for the camera-ready version.,,arg_request,arg-request_edit,asp_clarity,1
"Although the recommended length is 8 pages, the strict limit is 10, so I would recommended to use a bit of the remaining extra space to conclude the paper properly with a discussion on the results and their consequences, as well as a conclusion to wrap up the paper.",,arg_request,arg-request_edit,asp_clarity,1
"- The term flow is never defined precisely, we need to infer it",,arg_request,arg-request_clarification,asp_clarity,4
- First paragraph would be more clear with simple word explanation rather than maths.,,arg_request,arg-request_clarification,asp_clarity,4
- Work on image indicators of importance could be compared better with current work.,,arg_request,arg-request_edit,asp_meaningful-comparison,1
"- This sentence is not clear: ""[...]; the nature of correlations in the two models may differ"".",,arg_request,arg-request_edit,asp_clarity,1
The statements should be put in perspective with others.,,arg_request,arg-request_edit,asp_clarity,1
- Section 3 should be introduced by explaining the goal of the section otherwise it breaks the flow of reading.,,arg_request,arg-request_edit,asp_clarity,1
- The role of the baseline x' should be better explained when it is presented (first paragraph of section 3).,,arg_request,arg-request_edit,asp_clarity,1
"Different terms should be use, even if the context makes it possible to infer which one is being referred to.",,arg_request,arg-request_edit,asp_clarity,1
Some explanations should be devoted to it.,,arg_request,arg-request_explanation,asp_clarity,0
"Why couldn't we take another layer's neuron as the neuron of interest, bounding the conductance measure on one layer as the input and the output of the model? If we make the input to be a neuron y rather than the true input x, we could take another neuron z in a subsequent layer to be the neuron of interest, resulting in conductance measure Cond^z_i(y).",,arg_request,arg-request_explanation,asp_clarity,0
- List of importance measure at beginning of Section 4 should probably have citations.,,arg_request,arg-request_edit,asp_meaningful-comparison,1
"- Backward reference to section 3 seems to be a mistake, should it be subsection 4.2?",,arg_request,arg-request_edit,asp_clarity,1
- Each of the justifications to get around the issue of distinguishing strange model behavior from bad feature importance technique should be explained briefly in paragraph before section 4.1.,,arg_request,arg-request_explanation,asp_clarity,0
"g(f(1 - epsilon)) = 0, why would it be 1- epsilon?",,arg_request,arg-request_typo,asp_clarity,3
- Problem explained in fifth Paragraph of section is not clear unless what the influence of the unit is clearly stated. Is it simply dg/df?,,arg_request,arg-request_clarification,asp_clarity,4
- A short explanation of what is tested in section 6 should be given at last paragraph of section 4.1.,,arg_request,arg-request_explanation,asp_clarity,0
"Although the results are favorable to the conductance metric, it is not clear how they precisely confirm the problem of incorrect signs presented in the caricature examples.",,arg_request,arg-request_explanation,asp_substance,0
- Footnote 2 on page 5 it difficult to read.,,arg_request,arg-request_edit,asp_clarity,1
- The importance of section 4.2 should be clarified.,,arg_request,arg-request_clarification,asp_clarity,4
More emphasis on the importance of the axioms (desirable properties) should be made.,,arg_request,arg-request_edit,asp_clarity,1
- Choices for experiments should be explained. Why choosing layers mixed** rather than others? Why choosing filters?,,arg_request,arg-request_explanation,asp_clarity,0
"Since this is qualitative, I suggest to change the saturation of the images to make them easier to interpret.",,arg_request,arg-request_edit,asp_clarity,1
"- Figure 4 could be more interesting if compared with other classes, like other animal faces.",,arg_request,arg-request_experiment,asp_substance,2
- Space should be added between figures to better divide the captions,,arg_request,arg-request_edit,asp_clarity,1
- The difference between experiments of Figure 5 and 6 should be made more clear.,,arg_request,arg-request_edit,asp_clarity,1
- Where are they? No discussion? No conclusion?,,arg_request,arg-request_explanation,arg_other,0
Typhimurium. Could you explain why your MUTAG is now a single graph and is cast as node,,arg_request,arg-request_explanation,asp_replicability,0
* The upsampling analysis is interesting but it is only done on synthetic data - will the result hold for natural images as well? should be easy to try and will allow a better understanding of this choice.,,arg_request,arg-request_result,asp_substance,5
"This is just channel-wise normalization with some extra parameters - no need to call it this way (even if it's implemented with the same function) as there is no ""batch"".",,arg_request,arg-request_edit,asp_clarity,1
* I would have loved to see actual analysis of the method's performance as a function of the noise standard deviation.,,arg_request,arg-request_edit,asp_substance,1
"Specifically, for a fixed k, how would performance increase or decrease, and vice versa - for a given noise level, how would k affect performance.",,arg_request,arg-request_explanation,asp_substance,0
* The actual standard deviation of the noise is not mentioned in any of the experiments (as far as I could tell),,arg_request,arg-request_clarification,asp_clarity,4
* What does the decoder produce when taking a trained C on a given image and changing the source noise tensor?,,arg_request,arg-request_result,asp_substance,5
"I think that would shed light on what structures are learned and how they propagated in the image, possibly more than Figure 6 (which should really have something to compare to because it's not very informative out of context).",,arg_request,arg-request_clarification,asp_clarity,4
Why should we use embedding to compare the similarity?,,arg_request,arg-request_explanation,asp_soundness-correctness,0
"For example, Page 6. “is pre-trained on a pure set of negative samples”— what is the objective function? How to train on only negative samples?",,arg_request,arg-request_clarification,asp_clarity,4
One way to improve to work would be to provide practical takeaways from the theory or to provide experiments in the main paper.,,arg_request,arg-request_experiment,asp_substance,2
- What are the practical implication of your work ? for instance does it say anything on how to tune $\gamma$ for CO ?,,arg_request,arg-request_explanation,asp_soundness-correctness,0
- (Minor) $\alpha$ not alway have the same unit: Thm 3.2 it is proportional to a strong convexity and in Lemma 4.7 it is proportional to a strong convexity squared (actually the PL of the squared norm of the gradient).,,arg_request,arg-request_edit,asp_soundness-correctness,1
For clarity it might be interesting to use the notation $\alpha^2$ in Lemma 4.7.,,arg_request,arg-request_edit,asp_clarity,1
The same way for unit consistency I would use $L_H^2$ instead of $L_H$,,arg_request,arg-request_edit,asp_clarity,1
The authors should address that in their revision.,,arg_request,arg-request_edit,asp_soundness-correctness,1
- How much does the image matter for the single-image data set?,,arg_request,arg-request_explanation,asp_substance,0
The selected images A and B are of very high entropy and show a lot of different objects (image A) and animals (image B). How do the results change if e.g. a landscape image or an abstract architecture photo is used?,,arg_request,arg-request_explanation,asp_substance,0
"- How general is the proposed approach? How likely is it to generalize to other approaches such as Jigsaw (Doersch et al., 2015) and Exemplar (Dosovitskiy et al., 2016)? It would be good to comment on this.",,arg_request,arg-request_explanation,asp_substance,0
It would therefore be instructive to add experiments for ResNet to see how well the results generalize to other network architectures.,,arg_request,arg-request_experiment,asp_substance,2
"- Does the MonoGAN exhibit stable training dynamics comparable to training WGAN on CIFAR-10, or do the training dynamics change on the single-image data set?",,arg_request,arg-request_explanation,asp_substance,0
"Overall, I’m leaning towards accepting the paper, but it would be important to see how well the experiments generalize to i) ResNet and ii) other (lower entropy) input images.",,arg_request,arg-request_experiment,asp_substance,2
"- the sentence ""Bacause the identity of the datapoint can never be learned by ..."" What is the identity of a dat point?",,arg_request,arg-request_clarification,asp_clarity,4
"I'm wondering whether other smoothness regularizations can achieve the same effect when applied to semi-supervised learning, e.g. spectral normalization[3].",,arg_request,arg-request_explanation,asp_soundness-correctness,0
It would be better to compare with them.,,arg_request,arg-request_experiment,asp_meaningful-comparison,2
Does the fMRI data exhibit time dependence?,,arg_request,arg-request_clarification,asp_substance,4
So what’s the key difference? Hierarchical learners can avoid this problem.,,arg_request,arg-request_clarification,asp_substance,4
"3, In Sec. 3, the first and section paragraph, I can not quite understand how the ME bias theory guide the following synthetic experiments.",,arg_request,arg-request_clarification,asp_substance,4
"4, in Sec. 3.1, considering the small number of training instances, whether it is large enough to train the NN/ not overfitting issues?",,arg_request,arg-request_explanation,asp_substance,0
5. Whether the ME bias mostly attributed to the one-hot representation? If one uses word2vec as the representation in NN,,arg_request,arg-request_explanation,asp_substance,0
It would be interesting to see how it can improve existing learning-based theorem provers.,,arg_request,arg-request_explanation,asp_substance,0
"My question is if we want to integrate the proposed method into theorem provers, after multiple steps of math reasoning, how would us know the goal has been proved? Is it possible that we can train a decoder that maps back from the latent space to the formula space?",,arg_request,arg-request_explanation,asp_soundness-correctness,0
Also can it work with theorems that decompose the current goal into several sub-goals?,,arg_request,arg-request_explanation,asp_soundness-correctness,0
"1. Typo: Third paragraph in section 1, ""...which is makes use of ..."".",,arg_request,arg-request_typo,asp_clarity,3
2. It's very confusing when the authors introduce \sigma and \omega in the beginning of section 4: why would you need two networks predict the same thing?,,arg_request,arg-request_explanation,asp_clarity,0
"7. Typo: Page 5 last paragraph, ""... negative instances for for each ..."".",,arg_request,arg-request_typo,asp_clarity,3
"For example, for baseline 1, it is very hard to understand why would we want to use such an unusual baseline, and why it is called a ""random baseline"".",,arg_request,arg-request_explanation,asp_replicability,0
More motivation for experimental section is needed.,,arg_request,arg-request_explanation,asp_motivation-impact,0
The authors should rethink the structure of the experimental section from the standpoint of convincing someone to use this method.,,arg_request,arg-request_edit,asp_clarity,1
In section 4.1 the authors have a good discussion on what is wrong with other methods in order to motivate their approach but then they don't deliver significant evidence in the later part of the section.,,arg_request,arg-request_explanation,asp_substance,0
The paper needs more discussion and experiments to explain how and why to use this approach.,,arg_request,arg-request_explanation,asp_substance,0
There are many typos and grammar errors,,arg_request,arg-request_typo,asp_clarity,3
I would have liked to see a bit more analysis as to why some pre-training strategies work over others.,,arg_request,arg-request_experiment,asp_substance,2
"However, this does not take into account the time already spent on pre-training. Perhaps the authors can include some results as to the total time taken as well as amortized total time over a number of different downstream tasks.",,arg_request,arg-request_result,asp_substance,5
"To verify this, the authors might need to compare the results with those methods (which use the generated soft probability of ground truth classes for training), and the ""random-noisy copies of soft principle label"" mentioned above.",,arg_request,arg-request_result,asp_substance,5
"The authors might want to compare to ""Mathilde Caron, Piotr Bojanowski, Armand Joulin, and Matthijs Douze.",,arg_request,arg-request_result,asp_meaningful-comparison,5
Some important equations in the paper should be numbered.,,arg_request,arg-request_typo,asp_substance,3
images. It would be great if the paper also made some attempt to,,arg_request,arg-request_experiment,asp_substance,2
- I'm a little unclear when data-augmentation is included in the,,arg_request,arg-request_explanation,asp_substance,0
"- Last paragraph page 4: ""when the accuracy gets over 60\% and again",,arg_request,arg-request_explanation,asp_substance,0
"* First paragraph page 5: ""more shallow"" --> ""shallower""",,arg_request,arg-request_typo,asp_substance,3
"* Page 7, first paragraph of section 5.: ""is ran"" --> ""is run""",,arg_request,arg-request_typo,asp_substance,3
"* Using ""scenarii"" for the plural of ""scenario"" I would say is pretty",,arg_request,arg-request_typo,asp_substance,3
"Specifically, what if the few-shot learning component is removed, and the network is trained with standard domain adaptation.",,arg_request,arg-request_explanation,asp_soundness-correctness,0
"Also it seems that the regular batch normalization could be very sensitive to domain shifts, and it would be good if the authors can test other normalization schemes such as layer/group normalization as baselines.",,arg_request,arg-request_experiment,asp_substance,2
