text,index,review_action,target
"- In the last paragraph of Section 3.3, the paper proposes making the lower-bound on the reward state-dependent.",,arg_fact,0
"However, this can be tricky in practice since it requires having an estimate for Q_r(s,a) as a function of the state (in order to ensure that the state-dependent lower bound can indeed be satisfied).",,arg_evaluative,0
Typos:,,arg_structuring,0
"- Pg. 5, Section 3.4: ""...this is would achieve...""",,arg_request,1
"- Pg. 6: ...thedse value of 90...""",,arg_request,1
This paper formulates a new inference method called DDGC for noise labels and adversarial attacks.,,arg_structuring,0
Their main idea is to induce a generative classifer on top of hidden feature spaces of the discriminative deep model.,,arg_structuring,0
"To improve the robustness, their DDGC model leverages the minimum covariance determinant (MCD) estimator.",,arg_structuring,0
"Besides, the author proposes Theorem 1 to justify their MCD-based generative classifer.",,arg_structuring,0
Pros:,,arg_structuring,0
1. The authors find a new angle for learning with noisy labels.,,arg_evaluative,0
"Motivated by the fact that LDA-like generative classifer assuming the class-wise unimodal distribution might be robust, they introduce a generative classifer on top of hidden feature spaces of the discriminative deep model.",,arg_structuring,0
2. The authors perform numerical experiments to demonstrate the effectiveness of their framework in benchmark datasets. And their experimental result support their previous claims.,,arg_evaluative,0
Cons:,,arg_structuring,0
We have two questions in the following.,,arg_structuring,0
"1. Related works: In deep learning with noisy labels, there are three main directions, including small-loss trick [1-3], estimating noise transition matrix [4-6], and explicit and implicit regularization [7-9].",,arg_fact,0
I would appreciate if the authors can survey and compare more baselines in their paper instead of listing some basic ones.,,arg_request,1
2. Experiment:,,arg_structuring,0
"2.1 Baselines: For noisy labels, the authors should add MentorNet [1] as a baseline https://github.com/google/mentornet From my own experience, this baseline is very strong.",,arg_request,1
"At the same time, they should compare with VAT [7].",,arg_request,1
"For adversarial attacks, the author should compare with data type from [10], and list L-FBGS [11] as a basic baseline.",,arg_request,1
"2.2 Datasets: For datasets, I think the author should first compare their methods on symmetric and aysmmetric noisy data.",,arg_request,1
"Besides, the current paper only verifies on vision datasets.",,arg_fact,0
The authors are encouraged to conduct 1 NLP dataset.,,arg_request,1
References:,,arg_structuring,0
"[1] L. Jiang, Z. Zhou, T. Leung, L. Li, and L. Fei-Fei. Mentornet: Learning data-driven curriculum for very deep neural networks on corrupted labels. In ICML, 2018.",,arg_other,0
"[2] M. Ren, W. Zeng, B. Yang, and R. Urtasun. Learning to reweight examples for robust deep learning. In ICML, 2018.",,arg_other,0
"[3] B. Han, Q. Yao, X. Yu, G. Niu, M. Xu, W. Hu, I. Tsang, M. Sugiyama. Co-teaching: Robust training of deep neural networks with extremely noisy labels. In NIPS, 2018.",,arg_other,0
"[4] G. Patrini, A. Rozza, A. Menon, R. Nock, and L. Qu. Making deep neural networks robust to label noise: A loss correction approach. In CVPR, 2017.",,arg_other,0
"[5] J. Goldberger and E. Ben-Reuven. Training deep neural-networks using a noise adaptation layer. In ICLR, 2017.",,arg_other,0
"[6] S. Sukhbaatar, J. Bruna, M. Paluri, L. Bourdev, and R. Fergus. Training convolutional networks with noisy labels. In ICLR workshop, 2015.",,arg_other,0
"[7] T. Miyato, S. Maeda, M. Koyama, and S. Ishii. Virtual adversarial training: A regularization method for supervised and semi-supervised learning. ICLR, 2016.",,arg_other,0
[8] A. Tarvainen and H. Valpola. Mean teachers are better role models: Weight-averaged consistency targets improve semi-supervised deep learning results.,,arg_other,0
"In NIPS, 2017.",,arg_other,0
"[9] S. Laine and T. Aila. Temporal ensembling for semi-supervised learning. In ICLR, 2017.",,arg_other,0
"[10] C. Nicholas and W. David. Towards evaluating the robustness of neural networks. In IEEE Symposium on SP, 2017.",,arg_other,0
"[11] C. Szegedy, W. Zaremba, I. Sutskever, J. Bruna, D. Erhan, I. Goodfellow, and R. Fergus. Intriguing properties of neural networks. In ICLR, 2013.",,arg_other,0
## Summary ##,,arg_structuring,0
The authors apply policy gradients to combinatorial optimization problems.,,arg_structuring,0
"They suggest a surrogate reward function that mitigates the variance in the reward, and hence the update size.",,arg_structuring,0
They demonstrate performance on a clique-finding problem.,,arg_structuring,0
## Assessment ##,,arg_structuring,0
I don't think Cakewalk is different enough from the cross-entropy method to warrant acceptance in ICLR.,,arg_evaluative,0
"I also have concerns about the independence assumption in their sampling distribution (Section 3.2), and the fact that their experiments use the same set of (untuned) hyperparameters for each method.",,arg_evaluative,0
They both approximate the reward CDF from K samples and use this to construct a surrogate reward.,,arg_fact,0
"The difference is that Cakewalk uses the CDF directly, while CE uses a threshold function on the CDF.",,arg_fact,0
## Specific Comments and Questions ##,,arg_structuring,0
1. Cakewalk is *very* closely related to the cross-entropy method.,,arg_fact,0
"The authors acknowledge this connection, but I think they should begin by introducing CE and then explain how Cakewalk generalizes it.",,arg_request,1
Both Cakewalk and CE approximate the reward CDF from K samples and use this to construct a surrogate reward.,,arg_fact,0
"The difference is that Cakewalk uses the CDF directly, while CE uses a threshold function on the CDF.",,arg_fact,0
2. The distribution proposed in section 3.2 assumes independence between the elements $x_j$. This seems problematic for some relatively simple problems.,,arg_evaluative,0
Consider $x$ a binary vector and reward equal to the parity $S(x) = \sum{x_j} % 2$.,,arg_other,0
"3. In the experiments, there are large discrepancies between different optimizers on Cakewalk (e.g. SGA vs AdaGrad, Table 4).",,arg_evaluative,0
Is there any explanation for this?,,arg_request,1
"4. How were the hyperparameters (learning rate, AdaGrad $\delta$, Adam $\beta_1, \beta_2$) chosen?",,arg_request,1
"It seems like a large assumption that the same learning rate would work for different methods, especially when some of them are normalizing the objective function.",,arg_evaluative,0
I would suggest tuning these values for each method independently.,,arg_request,1
5. It would be nice to see experimental results on more than one problem.,,arg_request,1
"The authors discuss their results on k-medoids in the appendices, but it seems like these results aren't quite complete yet.",,arg_evaluative,0
"6. In Table 3, the figure in bold is not the lowest (best) in the table.",,arg_structuring,0
"The reason for this is only given in a single sentence at the end of Section 6, so it is a little confusing.",,arg_request,1
I would replace these values with N/A or something similar.,,arg_request,1
"This work extends Schlichtkrull et al. (2018) by adding attention in two distinct ways: attention between pairs of nodes per relation, and attention between pairs of nodes averaged over all relations.",,arg_evaluative,0
The paper is well written and the equations easy to follow.,,arg_evaluative,0
"The results are not strong. And, unfortunately, the model contribution currently is too modest.",,arg_evaluative,0
Inductive task results: Wu et al. (2018) reports that for Tox21 (Duvenauld et al. 2015) is the best-performing approach.,,arg_evaluative,0
"We should see the performance on other datasets  (e.g., some of the other datasets in Wu et al. (2018)).",,arg_request,1
My introduction suggestion: do not talk about Convolutional neural networks (CNNs). There is a *lot* of work on graph convolutional networks (GCNs).,,arg_request,1
"Reading it feels like reading about lattices when the work is about general graphs, and lattices provide no intuition about the proposed solution.",,arg_evaluative,0
--- After rebuttal ---,,arg_structuring,0
Still not convinced of the value of the work to the community. Will keep my score the same.,,arg_evaluative,0
Summary:,,arg_structuring,0
The authors propose using non-Euclidean spaces for GCNs.,,arg_structuring,0
"This is inspired by the recent work into non-Euclidean, and especially hyperbolic, embeddings.",,arg_structuring,0
"A few papers have recently tried to go past embeddings into building non-Euclidean models, requiring the lifting of standard operations in Euclidean space to non-Euclidean settings.",,arg_structuring,0
"This has been done in particular in hyperbolic space, but some datasets benefit from more complex spaces.",,arg_structuring,0
"The authors combine the mixed-curvature product formalism that uses products of Euclidean, hyperbolic, and spherical spaces for embeddings, but use these for GCN operations.",,arg_structuring,0
"Doing this requires, in particular, developing a reasonable way to perform these operations in spherical space (since Euclidean is trivial and hyperbolic has been recently worked on).",,arg_structuring,0
"The authors do a nice lifting via complex operations, and both the hyperbolic and spherical spaces can devolve into the flat Euclidean space when their curvature goes to 0.",,arg_structuring,0
"The authors implement these GCNs, train the curvatures, and demonstrate performance improvements over Euclidean only versions on node classification on benchmark datasets.",,arg_structuring,0
They also give a fairly nice introduction to all of these ideas in an extended appendix.,,arg_structuring,0
"Strengths, Weaknesses, Recommendation:",,arg_structuring,0
"This paper is reasonably interesting---it joins an effort to produce non-Euclidean models in a tractable way, which is fairly challenging, but could have a good impact.",,arg_evaluative,0
"On the plus side, it's great that the authors added the nice development for the spherical operations, since that will come in handy for many models.",,arg_evaluative,0
The experiments are also good.,,arg_evaluative,0
"On the downside, everything here is an extension of existing work, and the body of the paper is hard to read (though this may be inevitable, there's a lot of background to go over here).",,arg_evaluative,0
Overall I recommend accepting it; I think it's a solid contribution.,,arg_evaluative,0
Comments:,,arg_structuring,0
"- I don't understand why the authors say that their space ""interpolates smoothly"" just because the limit in the curvature is the same from the left and right side.",,arg_request,1
"For example, the absolute value function has the same limit from the left and the right at 0, but it's not differentiable there. Is it actually true that if we take the derivatives of the piecewise hyperbolic/spherical distance function that it's differentiable at c=0?",,arg_request,1
"- There are a couple of recent papers that also consider hyperbolic GCNs, and in fact use  similar ideas for the aggregation and update steps (i.e., same lift to hyperbolic space).",,arg_fact,0
"However, these were recently NeurIPS papers, and the text is not yet out, so I don't think this should affect the authors' independent work (and also the product part is new).",,arg_fact,0
I do recommend that the authors compare against those results in a future update of this work.,,arg_request,1
"The papers are ""Hyperbolic Graph Convolutional Neural Networks"" by Chami et al and Hyperbolic Graph Neural Networks by Liu et al.",,arg_fact,0
- One thing that I didn't see discussed by the authors is that there are subtle difference between hyperbolic and spherical spaces.,,arg_evaluative,0
"For example, the weighted midpoint of Def. 3.2 doesn't immediately extend to spherical space (or at least won't be unique).",,arg_evaluative,0
"As an example, consider S^2 and the mean of two antipodal points on it---there's many choices for the midpoint.",,arg_fact,0
You probably have to limit the operation to a half-sphere (there's some ideas for this in Gu et al).,,arg_request,1
"- For the synthetic tree, why is the number of edges 2(|V|-1) rather than |V|-1?",,arg_request,1
- Are the curvatures the same for each layer for the GCNs?,,arg_request,1
This is an interesting point to discuss (some of the NeurIPS papers I mentioned train the curvature for each layer).,,arg_request,1
"Also, how do you select the number of factors of each type?",,arg_request,1
"- Minor, but some of these citations can be updated.",,arg_structuring,0
"The ""De Sa"" et al 2018 arxiv citation is really Sala et al and is an ICML '18 paper.",,arg_request,1
"Similarly, Gulcehre et al is a 2019 ICLR paper, and so on. It's always good to get these right.",,arg_request,1
- Is there any actual empirical importance from recovering the Euclidean case exactly for 0 curvature?,,arg_request,1
The reason I ask is that my experience is that the hyperboloid is typically easier to work,,arg_fact,0
with,,none,0
.,,none,0
"- One useful thing to point out in B.3.3 is that in general, it need not be a diffeomorphism for all of M for any manifold, which leads to non-uniqueness.",,arg_request,1
"In differential geometry, the ""cut locus"" is the region beyond which there is this non-uniqueness.",,arg_fact,0
"- In the appendix, the statement ""Sarkar (2011) show that a similar statement as in Theorem 2 holds for a very general class of trees"" is confusing to me. The ""general class"", as far as I know, is actually *all* trees, weighted or unweighted.",,arg_evaluative,0
The main contributions of this work are essentially on the theoretical aspects.,,arg_structuring,0
"It seems that the proposed algorithm is not very original because its two parts, namely prediction (coefficient estimation) and learning (dictionary update) have been widely used in the literature, using respectively a IHT and a gradient descent.",,arg_evaluative,0
The authors need to describe in detail the algorithmic novelty of their work.,,arg_request,1
The definition of “recovering true factor exactly” need to be given.,,arg_request,1
"The proposed algorithm involves several tuning parameters, when alternating between two updating rules, an IHT-based update for coefficients and a gradient descent-based update for the dictionary.",,arg_fact,0
"Therefore, an appropriate choice of their values need to be given.",,arg_request,1
"In the algorithm, the authors need to define the HT function in (3) and (4).",,arg_request,1
"In the experiments, the authors compare the proposed method to only the one proposed by Arora et al. 2015.",,arg_structuring,0
"We think that this is not enough, and more extensive experimental results would provide a better paper.",,arg_evaluative,0
"There are some typos that can be easily found, such as “of the out algorithm”.",,arg_request,1
"This paper proposes an efficient zero-confidence attack algorithm, MARGINATTACK, which uses the modified Rosen's algorithm to optimize the same objective as CW attack.",,arg_structuring,0
"Under a set of conditions, the authors proved convergence of the proposed attack algorithm.",,arg_structuring,0
My main concern about this paper is why this algorithm has a better performance than CW attack?,,arg_request,1
I would suggest comparing with CW attack under different sets of hyper-parameters.,,arg_evaluative,0
Minor comment:,,arg_structuring,0
"The theoretical proof depends on the convexity assumption, I would also suggest comparing the proposed attack with CW and other benchmarks on some simple models that satisfy the assumptions.",,arg_evaluative,0
The paper deals with the problem of recovering an exact solution for both the dictionary and the activation coefficients.,,arg_structuring,0
"As other works, the solution is based on a proper initialization of the dictionary.",,arg_structuring,0
The authors suggest using Aurora 2015 as a possible initialization.,,arg_structuring,0
The contribution improves Arora 2015 in that it converges linearly and recovers both the dictionary and the coefficients with no bias.,,arg_structuring,0
"The main contribution is the use of a IHT-based strategy to update the coefficients, with a gradient-based update for the dictionary (NOODL algorithm).",,arg_structuring,0
"The authors show that, combined with a proper initialization, this has exact recovery guaranties.",,arg_structuring,0
"Interestingly, their experiments show that NOODL converges linearly in number of iterations, while Arora gets stuck after some iterations.",,arg_structuring,0
I think the paper is relevant and proposes an interesting contribution.,,arg_evaluative,0
The paper is well written and the key elements are in the body.,,arg_evaluative,0
"However, there is a lot of important material in the Appendix, which I think may be relevant to the readers.",,arg_fact,0
It would be nice to have some more intuitive explanations at least of Theorem 1.,,arg_request,1
"Also, it is clear in the experiments the superiority with respect to Arora in terms of iterations (and error), but what about computational time?",,arg_request,1
"This paper proposes using spectral normalization (SN) as a regularization for adversarial training, which is based on [Miyato et. al., ICLR 2018], where the original paper used SN for GAN training.",,arg_structuring,0
"The paper also uses the results from [Neyshabur et. al., ICLR 2018], where the original paper provided generalization bounds that depends on spectral norm of each layer.",,arg_structuring,0
"The paper is well written in general, the experiments are extensive.",,arg_structuring,0
"The idea of studying based on the combination of the results from two previous papers is quite natural, since one uses spectral normalization in practice for GAN training, and the other provides generalization bound that depends on spectral norm.",,arg_evaluative,0
"The novelty of the algorithm itself is limited, since GAN and adversarial training are both minmax problems, and the original algorithm can be carried over easily.",,arg_evaluative,0
The experimental result itself is quite comprehensive.,,arg_evaluative,0
"On the other hand, this paper provides specific generalization bounds under three adversarial attack methods, which explains the power of SN under those settings.",,arg_evaluative,0
"However, it is not clear to me that these are some novel results that can better help adversarial training.",,arg_request,1
"Though rather dense in its exposition, this paper is an interesting contribution to the area of self-supervised learning  based on discrete representations.",,arg_evaluative,0
What would make it stronger imo is to address the issue of how much is gained from a discrete vs. continuous representation.,,arg_request,1
The authors take it as a given that discrete is good because it allows us to leverage work in NLP.,,arg_structuring,0
That makes sense -- but at what cost?,,arg_request,1
"""Table 4 shows that our first results are promising, even though they are not as good as the state of the art."" The state of the art on LibriSpeech is not Mohamed at al. 2019. See e.g. Irie et al. Interspeech 2019 for better result",,arg_evaluative,0
"The Conclusion is very sparse. ""In future work, we are planning to apply other algorithms requiring discrete inputs to audio data"":",,arg_structuring,0
can  you elaborate?,,arg_request,1
"The authors propose a method for image restoration, where the restored image is the MAP estimate.",,arg_structuring,0
A pretrained GAN is utilized to approximate the prior distribution of the noise-free images.,,arg_structuring,0
"Then, the likelihood induces a constraint which is based on the degradation function.",,arg_structuring,0
"In particular, the method tries to find the latent point for which the GAN generates the image, which if gets degraded will match the given degraded image.",,arg_structuring,0
"Also, an optimization algorithm is presented that solves the proposed constrained optimization problem.",,arg_evaluative,0
I find the paper very well written and easy to follow.,,arg_evaluative,0
"Also, the idea is pretty clean, and the derivations are simple and clear.",,arg_evaluative,0
"Additionally, the Figures 2,3 are very intuitive and nicely explain the theory.",,arg_evaluative,0
"However, I think that there are some weaknesses (see comments):",,arg_structuring,0
Comments:,,arg_structuring,0
"#1) I do not understand exactly what the ""general method"" means. Does it mean that you propose a method, where you can just change the F, such that to solve a different degradation problem? So you provide the general framework where somebody has to specify only the F?",,arg_request,1
"#2) Clearly, the efficiency of the method is highly based on the ability of the GAN to approximate well the prior distribution of the noise-free images.",,arg_evaluative,0
"#3) There are several Equations that can be combined, such that to save enough white space in order to discuss further some actual technical details.",,arg_evaluative,0
"For instance, Eq. 2,3 can be easily combined using the proportional symbol, Eq. 8,9,10,11 show actually the same thing.",,arg_request,1
"#4) I think that the function F has to be differentiable, and this should be mentioned in the text.",,arg_request,1
"Also, I believe that some actual (analytic) examples of F should be provided, at least  in the experiments.",,arg_request,1
The same holds for the p(Omega).,,arg_request,1
This parameter Omega is estimated individually for each degraded image?,,arg_request,1
#5) Before Eq. 8 the matrix V is a function of z and should be presented as such in the equations.,,arg_request,1
"#6) I believe that it would be nice to include a magnified image of Fig. 3, where the gradient steps are shown.",,arg_request,1
"Also, my understanding is that the optimization goal is to find first a feasible solution, and then find the point that maximizes f. I think that this can be clarified in the text.",,arg_request,1
"#7) The optimization steps seem to be intuitive, however, there is not any actual proof of converge.",,arg_evaluative,0
"Of course, the example in the Figure 3 is very nice and intuitive, but it is also rather simple.",,arg_evaluative,0
"I would suggest, at least, to include some empirical evidences in the experiments that show convergence.",,arg_request,1
#8) In the experiments I think that at least one example of F and p(Omega) should be presented.,,arg_request,1
"Also, what the numbers in Table 4 show? Which is the best value that can be achieved?",,arg_request,1
"These numbers correspond to several images, or to a unique image?",,arg_request,1
"#9) I think that MNIST is almost a toy experiment, since the crucial component of the proposed method is the prior modeling with the GAN.",,arg_evaluative,0
I believe that a more challenging experiment should be conducted e.g. using celebA dataset.,,arg_evaluative,0
Minor comments:,,arg_structuring,0
#1) In the paragraph after Eq. 4 the equality p_r(x)=p_G(x) is very strong assumption.,,arg_evaluative,0
I would suggest to use the \simeq symbol instead.,,arg_request,1
"#2) After Eq. 6 the ""nonnegative"" should be ""nonzero"".",,arg_request,1
"#3) Additional density estimation models can be used e.g. VAEs, GMM.",,arg_request,1
"Especially, I believe that the VAE will provide a way to approximate the prior easier than the GAN.",,arg_evaluative,0
"#4) In Section 2 paragraph 2, the sentence ""However, they only ... and directly"" is not clear what means.",,arg_request,1
"In general, I find both the proposed model and optimization algorithm interesting.",,arg_evaluative,0
"Additionally, the idea is nicely presented in the paper.",,arg_evaluative,0
Most of my comments are improvements which can be easily included.,,arg_request,1
"The two things that make me more skeptical, is the convergence of the proposed algorithm and the experiments.",,arg_evaluative,0
"The MNIST is a relatively simple experiment, and I would like to see how the method works in more challenging problems.",,arg_evaluative,0
"Also, I think that additional methods to compute the image prior should be included in the experiments.",,arg_request,1
"This is an interesting paper with a new approach to learn a sparse, positive (and hence interpretable) semantic space that maximizes human similarity judgements, by training to specifically maximize the prediction of human similarity judgements.",,arg_structuring,0
The authors have collected the dataset themselves and have rating of sets of 3 objects from 1854 unique objects.,,arg_structuring,0
They end up with a space (SPoSE) with relatively low dimensionality with respect to usual word embeddings (49 dimension) but perhaps not surprising when considering the small size of the words to embed.,,arg_structuring,0
The authors run a set of experiment to show the usefulness of SPoSE.,,arg_structuring,0
"The most interesting one is the prediction of its dimensions by the CSLB features, which reveals a nice clustering in the different SPoSE dimensions.",,arg_structuring,0
Perhaps the results would be a little more convincing if additional common word embeddings were also tested.,,arg_evaluative,0
"Due to the different objects used in the different datasets, some of the experiments have a smaller set of words.",,arg_evaluative,0
A good extension of this work would be to combine a text-derived embedding  or the synsets to interpolate the SPoSE dimensions for missing words in the original set.,,arg_request,1
Or perhaps the object similarity ratings could be used in a semi-supervised setting to inform the learning of a co-occurence word embedding.,,arg_request,1
This will allow the model to better describe a larger set of words.,,arg_request,1
Another possible extension is to test this larger set of words on a non-behavioral NLP task to show possible improvements that the behavioral data and the interpretable space give.,,arg_request,1
The paper proposes pre-training strategies (PT) for graph neural networks (GNN) from both node and graph levels.,,arg_structuring,0
Two new large-scale pre-training datasets are created and extensive experiments are conducted to demonstrate the benefits of PT upon different GNN architectures.,,arg_structuring,0
I am relative positive for this work.,,arg_social,0
Detail review of different aspects and questions are as follows.,,arg_structuring,0
"Novelty: As far as I know, this work is among the earliest works to think about GNN pre-training.",,arg_evaluative,0
