Descriptions,Attitude_roots
"Specifically, the first contribution listed in the introduction makes it look like this paper introduces the idea of not learning the decoder on the dataset (the one that starts with “The network is not learned and itself incorporates all assumptions on the data.”).",Clarity(INT_PDI)
The details of the approach is not entirely clear and no theoritcal results are provided to support the approach.,Clarity(MET_RES)
"The real data experiments (sections 4.2 and 4.3) are not very convincing, not only because of the very small size of N, but also because there is no comparison with the other approaches.",Meaningful-comparison(DAT_EXP)
"- I’d also like to see more extensive comparisons between FICM and ICM across different datasets, for example, Super Mario Bros. and the Atari games, instead of only comparing FICM against ICM on ViZDoom.",Meaningful-comparison(DAT)
"2:    The authors should compare against several costs/algorithms (e.g. l_0 with OMP, l_1 with LARS, etc.), and across various N_0/sparsity penalties, and across several datasets.",Meaningful-comparison(MET_DAT)
"E.g., in Table 1 and 2,  the best result of VAT (Miyato et al., 2017) is VAT+Ent, 13.15 for CIFAR-10 (4000 labels) and 4.28 for SVHN (1000 labels).",Meaningful-comparison(RWK_RES)
"3. In the introduction, the Authors point that prior methods have trouble dealing with textureless, reflective or transparent approaches, but it's not clear form the paper where it addresses these cases, and if yes, what is the mechanism for that.",Meaningful-comparison(INT)
There should be some kind of comparison with test set results from other state-of-the-art work on these datasets.,Meaningful-comparison(RWK_DAT)
"In terms of method, the guidance for learning Siamese networks are designed heuristically (e.g. edges, colors, etc.) which limits its applicability over various datasets; I think that designing more principled approach to build such guidances from data should be one of the key contributions of the paper.",Motivation-impact(MET_DAT)
"Overall, the idea is simple, the explanation is clear and experimentation is extensive. I would like to see more commentary on why this method might have long-term impact (or not).",Motivation-impact(PDI_MET)
Unfortunately the paper doesn't provide any qualitative analysis on how modulation is employed by the models after training.,Motivation-impact(ANA)
"-The conclusions of the study were suggested by previous papers or are rather expected: adversarial transfer is not symmetric: Deep models less transferable than shallow ones, averaging gradient is better",Originality(RWK_RES)
"2. In experiments, the authors explored many existing methods on improving",Originality(RWK_EXP)
"When it comes to experiments, constant epoch budget is also fairly well understood and the behavior in Figure 1 is not really surprising (as the eventual training performance gets worse with large batches).",Originality(TNF)
"that (except the minor small section of streaming data), the paper is more like a proper verification of how tree-based learning algorithms work very well in tabular data--which is far from the basis of the paper and does not make the paper novel enough for ICLR.",Originality(MET_DAT)
"Overall, the method looks incremental and experimental results are mixed on small datasets so I vote for rejection.",Originality(DAT_RES)
"- Gradient starvation, Kaggle experiment: I'm not too convinced about the novelty/usefulness of this result. In the end, even a decision tree stump would stop growing after learning the dark/light feature as a discriminator.",Originality(RES_EXP)
"3. The authors argue in their rebuttal that ""the grid"" is a novel idea that warrants investigation, but remark in figure 5 that likely it isn't the key aspect of their algorithm.",Originality(MET_TNF)
The idea of using a constrained formulation is not novel either (constrained MDPs have been thoroughly studied since Altman (1999)).,Originality(PDI_RWK)
- little methodological innovation or analytical explanations,Originality(ANA)
"In the experiments, both the setting and the experimental results show that the proposed W_s will be very close to W_U. As a result, the improvement caused by the proposed method is incremental compared with its variants.",Originality(MET_EXP)
"-- While the overall claim of the paper in the introduction seems to be to speed up frequency estimation using machine learned advice, results are only given for the Zipfian distribution.",Replicability(INT_RES)
"For example, for baseline 1, it is very hard to understand why would we want to use such an unusual baseline, and why it is called a ""random baseline"".",Replicability(MET_RWK)
"This sort of two-stage generation is also potentially interesting, I was wondering if the authors had ideas to generalize this idea.",Replicability(PDI)
"-In the introduction, ""it is in general impossible to find an embedding in R^d such that ..."", why do we have to make v and v'(and u, and u') far from each other?",Replicability(INT)
"and rendering the third claim from the introduction (""We propose an new algorithm with the new metric which demonstrates better results than state-of-the-art algorithms."") completely untrue.",Soundness-correctness(INT_MET)
"I would have liked to see results for both trivial baselines like random ranking as well as more informed baselines where we can estimate transfer potential using say k representation techniques, and then use that to help us understand how well it would do on the other representations.",Soundness-correctness(RWK_EXP)
"The MNIST+SVHN dataset setup is described in detail, yet there is no summary of the experimental results, which are presented in the appendix.",Substance(DAT_RES_EXP)
- What is the difference between the result of Theorem 4.3 and the result from (Lacoste-Julien 2016)?,Substance(MET_RWK_RES)
"Although the idea is interesting, I would like to see more experimental results showing the scalability of the proposed method and for evaluating defense strategies against different types of adversarial attacks.",Substance(MET_RES_EXP)
"Some baseline DA methods [A, B] and datasets [C, D] are not considered.",Substance(MET_RWK_DAT)
"The two ideas (use of grids, and intra-life curiosity vs inter-life curiosity) should be independently investigated and put in context of past work.",Substance(PDI_RWK)
